0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:49 +0530] "GET /convey/css/yourdelivery.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:49 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:54 +0530] "GET /convey/canceldeliveryservlet?cancelbutton=24 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:54 +0530] "GET /convey/yourdelivery HTTP/1.1" 200 9906
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:54 +0530] "GET /convey/css/yourdelivery.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:54 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:54 +0530] "GET /convey/css/yourdelivery.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:54 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:56 +0530] "GET /convey/offerservlet HTTP/1.1" 200 8361
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:56 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:56 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:30:01 +0530] "GET /convey/profileservlet HTTP/1.1" 200 6549
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:30:01 +0530] "GET /convey/css/profile.css HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:30:07 +0530] "GET /convey/offerservlet HTTP/1.1" 200 8361
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:30:07 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:30:07 +0530] "GET /convey/... HTTP/1.1" 404 1046
